FUND,Broker Code,BROKER,CAXTON_BROKER_NAME,CSA_TYPE,ACCOUNT,Instrument Type,INST_TYPE_GROUP,DESCRIPTION,TICKER,ISIN,SEDOL,CUSIP,Trade Id,Trade Date,Settle Date,B/S, QUANTITY , Agency , Principal ,PRICE,CURRENCY,FX Spot Rate, COMMISSION ,Rate, Credit 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,HERMES INTERNATIONAL,RMS FP,,,S-5253973,25296610,7/12/22,7/14/22,S,5,5, -   ,1249.5052,EU,1.18585,$5.93 ,0.0008,$4.45 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,CAIXABANK,CABK SM,,,S-B283W97,25298636,7/14/22,7/16/22,S,"3,247","3,247", -   ,2.5067,EU,1.18295,$7.70 ,0.0008,$5.78 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQTY,Cash Equity,ERSTE BANK DER OEST,EBS AV,AT0000652011,5289837,,25298837,7/14/22,7/16/22,S,265,265, -   ,30.9119,EU,1.18295,$7.75 ,0.0008,$5.81 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,LA FRANCAISE DES JEUX SAEM,FDJ FP,,,S-BG0SC10,25298838,7/14/22,7/16/22,S,146,146, -   ,48.9226,EU,1.18295,$6.75 ,0.0008,$5.06 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,SOCIETE GENERALE-A,GLE FP,,,S-5966516,25299459,7/14/22,7/16/22,S,47,47, -   ,24.7657,EU,1.18295,$1.10 ,0.0008,$0.83 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,INDITEX,ITX SM,,,S-BP9DL90,25298639,7/14/22,7/16/22,S,244,244, -   ,29.29,EU,1.18295,$6.77 ,0.0008,$5.08 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,NEXT PLC SWAP,NXT LN,,,S-3208986,25299887,7/14/22,7/16/22,S,78,78, -   ,77.893103,GBP,1.3852,$6.73 ,0.0008,$5.05 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,BANCO SANTANDER CNTR,SAN SM,,,S-5705946,25299460,7/14/22,7/16/22,S,"1,126","1,126", -   ,3.1096,EU,1.18295,$3.31 ,0.0008,$2.48 
CI,MSAG,Morgan Stanley,Morgan Stanley,NON CSA,CAX UK,EQSWP,Cash Equity,INDITEX,ITX SM,,,S-BP9DL90,25301459,7/15/22,7/19/22,S,364,364, -   ,27.9778,EU,1.18075,$9.62 ,0.0008,$7.22 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,APPLE INC,AAPL,,2046251,37833100,25284196,7/1/22,7/6/22,B,"108,761","108,761", -   ,136.6018,USD,1,"$3,262.83 ",0.03,"$2,827.79 "
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,ADVANCE MICRO DEVICE,AMD,,2007849,7903107,25284245,7/1/22,7/6/22,B,"17,770","17,770", -   ,93.4487,USD,1,$533.10 ,0.03,$462.02 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,MICRON TECHNOLOGY,MU,,2588184,595112103,25284007,7/1/22,7/6/22,S,"59,464","59,464", -   ,81.5701,USD,1,"$1,783.92 ",0.03,"$1,546.06 "
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,EOG RESOURCES INC,EOG,,2318024,26875P101,25288359,7/6/22,7/8/22,S,"1,200","1,200", -   ,84.0075,USD,1,$36.00 ,0.03,$31.20 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,HOLLYFRONTIER CORP,HFC,,B5VX1H6,436106108,25286861,7/6/22,7/8/22,S,"3,300","3,300", -   ,31.1104,USD,1,$99.00 ,0.03,$85.80 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,OCCIDENTAL PETROLEUM,OXY,,2655408,674599105,25288360,7/6/22,7/8/22,S,"3,000","3,000", -   ,30.787,USD,1,$90.00 ,0.03,$78.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,PBF ENERGY INC,PBF,,B7F4TJ7,69318G106,25286546,7/6/22,7/8/22,S,"7,000","7,000", -   ,13.6064,USD,1,$210.00 ,0.03,$182.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,EXXON-MOBIL CORP,XOM,,,30231G102,25286548,7/6/22,7/8/22,S,"1,500","1,500", -   ,61.2857,USD,1,$45.00 ,0.03,$39.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,HOLLYFRONTIER CORP,HFC,,B5VX1H6,436106108,25289010,7/7/22,7/9/22,S,"3,000","3,000", -   ,31.2015,USD,1,$90.00 ,0.03,$78.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,AMC ENTERTAINMENT HLDS-CL A,AMC,,BH4HLL3,00165C104,25292421,7/8/22,7/12/22,S,"15,000","15,000", -   ,49.3202,USD,1,$450.00 ,0.03,$390.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,AMC ENTERTAINMENT HLDS-CL A,AMC,,BH4HLL3,00165C104,25291787,7/8/22,7/12/22,B,"15,000","15,000", -   ,47.6364,USD,1,$450.00 ,0.03,$390.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,TEXAS INSTRUMENTS,TXN,,2885409,882508104,25291164,7/8/22,7/12/22,S,"36,551","36,551", -   ,186.5202,USD,1,"$1,096.53 ",0.03,$950.33 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,EOG RESOURCES INC,EOG,,2318024,26875P101,25294341,7/9/22,7/13/22,B,800,800, -   ,80.5656,USD,1,$24.00 ,0.03,$20.80 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,HOLLYFRONTIER CORP,HFC,,B5VX1H6,436106108,25294342,7/9/22,7/13/22,B,"2,500","2,500", -   ,31.3472,USD,1,$75.00 ,0.03,$65.00 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,PBF ENERGY INC,PBF,,B7F4TJ7,69318G106,25294609,7/9/22,7/13/22,B,"8,000","8,000", -   ,13.3083,USD,1,$240.00 ,0.03,$208.00 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,BANK OF AMERICA CORP,BAC,,2295677,60505104,25296266,7/12/22,7/14/22,B,"108,973","108,973", -   ,40.6566,USD,1,"$3,269.19 ",0.03,"$2,833.30 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,BANK OF AMERICA CORP,BAC,,2295677,60505104,25295889,7/12/22,7/14/22,B,"215,931","215,931", -   ,40.3444,USD,1,"$6,477.93 ",0.03,"$5,614.21 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,BANK OF AMERICA CORP,BAC,,2295677,60505104,25295693,7/12/22,7/14/22,B,"936,555","936,555", -   ,40.6948,USD,1,"$28,096.65 ",0.03,"$24,350.43 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,JP MORGAN CHASE & CO,JPM,,2190385,46625H100,25296604,7/12/22,7/14/22,B,"13,790","13,790", -   ,158.7138,USD,1,$413.70 ,0.03,$358.54 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,JP MORGAN CHASE & CO,JPM,,2190385,46625H100,25296768,7/12/22,7/14/22,B,"84,770","84,770", -   ,157.7045,USD,1,"$2,543.10 ",0.03,"$2,204.02 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,JP MORGAN CHASE & CO,JPM,,2190385,46625H100,25296443,7/12/22,7/14/22,B,"192,518","192,518", -   ,158.7936,USD,1,"$5,775.54 ",0.03,"$5,005.47 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25295695,7/12/22,7/14/22,S,"20,000","20,000", -   ,436.5984,USD,1,$600.00 ,0.03,$520.00 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25296444,7/12/22,7/14/22,S,"20,000","20,000", -   ,436.5728,USD,1,$600.00 ,0.03,$520.00 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25296605,7/12/22,7/14/22,S,"24,627","24,627", -   ,436.5883,USD,1,$738.81 ,0.03,$640.30 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25295891,7/12/22,7/14/22,S,"25,000","25,000", -   ,436.5756,USD,1,$750.00 ,0.03,$650.00 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25296087,7/12/22,7/14/22,S,"25,000","25,000", -   ,436.5062,USD,1,$750.00 ,0.03,$650.00 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25296445,7/12/22,7/14/22,S,"25,000","25,000", -   ,436.5227,USD,1,$750.00 ,0.03,$650.00 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25295890,7/12/22,7/14/22,S,"51,310","51,310", -   ,436.332,USD,1,"$1,539.30 ",0.03,"$1,334.06 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,S&P 500 SPDRS,SPY,,2840215,78462F103,25296947,7/12/22,7/14/22,S,"152,693","152,693", -   ,436.5231,USD,1,"$4,580.79 ",0.03,"$3,970.02 "
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,DR,Cash Equity,TAIWAN SEMI ADR 144A,TSM,,2113382,874039100,25299449,7/14/22,7/16/22,B,"32,300","32,300", -   ,125.0315,USD,1,$969.00 ,0.03,$839.80 
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,PINTEREST INC- CLASS A,PINS,,BJ2Z0H2,72352L106,25300919,7/15/22,7/19/22,S,"28,700","28,700", -   ,69.7876,USD,1,$861.00 ,0.03,$746.20 
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,ETF,Cash Equity,INVESCO QQQ TRUST SERIES 1,QQQ,,BDQYP67,4.61E+107,25301230,7/15/22,7/19/22,B,"85,877","85,877", -   ,359.8874,USD,1,"$2,576.31 ",0.03,"$2,232.80 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,SUNRUN INC,RUN,,BYXB1Y8,86771W105,25300889,7/15/22,7/19/22,S,"572,350","572,350", -   ,46.9747,USD,1,"$17,170.50 ",0.03,"$14,881.10 "
QM,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,EQTY,Cash Equity,TPI COMPOSITES INC,TPIC,,BYYGK12,87266J104,25300745,7/15/22,7/19/22,S,"98,284","98,284", -   ,40.7849,USD,1,"$2,948.52 ",0.03,"$2,555.38 "
CI,SBAUS,SC Bernstein,SC Bernstein,NON CSA,CAX UK,DR,Cash Equity,TAIWAN SEMI ADR 144A,TSM,,2113382,874039100,25300887,7/15/22,7/19/22,S,"32,300","32,300", -   ,118.5612,USD,1,$969.00 ,0.03,$839.80 
CI,UBCG,UBS,UBS,NON CSA,CAX UK,EQSWP,Cash Equity,CORP ACCIONA ENERGIAS RENOVA S,ANE SM,,,S-BP7L895,25293433,7/8/22,7/12/22,S,"25,000","25,000", -   ,29.7,EU,1.18385,"$1,318.51 ",0.0015,$615.30 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25305110,7/20/22,7/22/22,S,"19,695","19,695", -   ,4.4156,EU,1.17825,$40.99 ,0.0004,$20.50 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25307794,7/21/22,7/23/22,S,"14,461","14,461", -   ,4.3675,EU,1.17985,$29.80 ,0.0004,$14.90 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,AFFIRM HOLDINGS INC,AFRM,,BMF9NM8,00827B106,25303257,7/19/22,7/21/22,B,"22,756","22,756", -   ,55.6939,USD,1,$682.68 ,0.03,$591.66 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ATOTECH LTD,ATC,JE00BMVMZ478,BMVMZ47,,25303046,7/19/22,7/21/22,S,"37,915","37,915", -   ,23.9226,USD,1,"$1,137.45 ",0.03,$985.79 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,VIANT TECHNOLOGY INC,DSP,,BMDJ0D0,92557A101,25303862,7/19/22,7/21/22,S,"40,337","40,337", -   ,17.0151,USD,1,"$1,210.11 ",0.03,"$1,048.76 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ON24 INC,ONTF,68339B10,BMBKL65,,25303870,7/19/22,7/21/22,S,"17,963","17,963", -   ,35.0546,USD,1,$538.89 ,0.03,$467.04 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,POSHMARK INC-CLASS A,POSH,,BL6G4S4,73739W104,25304023,7/19/22,7/21/22,B,"34,523","34,523", -   ,39.9188,USD,1,"$1,035.69 ",0.03,$897.60 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,CLOOPEN GROUP HOLDING LTD,RAAS,,BMFNCN4,18900M104,25304282,7/19/22,7/21/22,S,"55,266","55,266", -   ,5.4712,USD,1,"$1,657.98 ",0.03,"$1,436.92 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SANA BIOTECHNOLOGY INC,SANA,,BMFJJ97,799566104,25303042,7/19/22,7/21/22,S,"30,574","30,574", -   ,18.5991,USD,1,$917.22 ,0.03,$794.92 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,TELUS INTERNATIONAL CDA INC,TIXT,,BMFJ317,87975H100,25304067,7/19/22,7/21/22,S,"13,151","13,151", -   ,27.7405,USD,1,$394.53 ,0.03,$341.93 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,PETCO HEALTH AND WELLNESS CO,WOOF,,BNRQM83,71601V105,25303833,7/19/22,7/21/22,B,"72,799","72,799", -   ,18.9387,USD,1,"$2,183.97 ",0.03,"$1,892.77 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,APRIA INC,APR,,BMTY4D7,03836A101,25305525,7/20/22,7/22/22,S,"24,462","24,462", -   ,25.7125,USD,1,$733.86 ,0.03,$636.01 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,BUMBLE INC-A,BMBL,,BMZ2WT7,12047B105,25304492,7/20/22,7/22/22,S,"42,320","42,320", -   ,46.4327,USD,1,"$1,269.60 ",0.03,"$1,100.32 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,MYT NETHERLANDS PARENT BV,MYTE,,BM9PJF7,55406W103,25305694,7/20/22,7/22/22,B,"11,169","11,169", -   ,28.711,USD,1,$335.07 ,0.03,$290.39 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ON24 INC,ONTF,68339B10,BMBKL65,,25304720,7/20/22,7/22/22,S,"5,355","5,355", -   ,35.6377,USD,1,$160.65 ,0.03,$139.23 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,CLOOPEN GROUP HOLDING LTD,RAAS,,BMFNCN4,18900M104,25304944,7/20/22,7/22/22,S,"45,214","45,214", -   ,5.5879,USD,1,"$1,356.42 ",0.03,"$1,175.56 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SANA BIOTECHNOLOGY INC,SANA,,BMFJJ97,799566104,25305935,7/20/22,7/22/22,S,"13,442","13,442", -   ,18.7372,USD,1,$403.26 ,0.03,$349.49 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SIGNIFY HEALTH INC -CLASS A,SGFY,,BMD8TD0,82671G100,25305348,7/20/22,7/22/22,S,"34,587","34,587", -   ,28.2649,USD,1,"$1,037.61 ",0.03,$899.26 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,TELUS INTERNATIONAL CDA INC,TIXT,,BMFJ317,87975H100,25304496,7/20/22,7/22/22,S,"4,515","4,515", -   ,28.1702,USD,1,$135.45 ,0.03,$117.39 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,MYT NETHERLANDS PARENT BV,MYTE,,BM9PJF7,55406W103,25307311,7/21/22,7/23/22,B,"9,855","9,855", -   ,29.9794,USD,1,$295.65 ,0.03,$256.23 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,CLOOPEN GROUP HOLDING LTD,RAAS,,BMFNCN4,18900M104,25307862,7/21/22,7/23/22,S,"44,513","44,513", -   ,5.7113,USD,1,"$1,335.39 ",0.03,"$1,157.34 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,RLX TECHNOLOGY INC-ADR,RLX,,BMBKL76,74969N103,25306334,7/21/22,7/23/22,B,"185,644","185,644", -   ,6.2512,USD,1,"$5,569.32 ",0.03,"$4,826.74 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SIGNIFY HEALTH INC -CLASS A,SGFY,,BMD8TD0,82671G100,25307599,7/21/22,7/23/22,S,"7,291","7,291", -   ,28.4995,USD,1,$218.73 ,0.03,$189.57 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ADYEN NV,ADYEN NA,NL0012969182,BZ1HM42,,25309257,7/22/22,7/26/22,B,200,200, -   ,2283.02,EU,1.17725,$430.03 ,0.0008,$322.52 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,AMAZON.COM INC,AMZN,,2000019,23135106,25308431,7/22/22,7/26/22,S,"1,100","1,100", -   ,3625.009,USD,1,$33.00 ,0.03,$28.60 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SALESFORCE.COM INC,CRM,,2310525,79466L302,25309509,7/22/22,7/26/22,B,"16,300","16,300", -   ,247.3505,USD,1,$489.00 ,0.03,$423.80 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,INTEL CORPORATION,INTC,,2463247,458140100,25309062,7/22/22,7/26/22,B,"26,900","26,900", -   ,55.8749,USD,1,$807.00 ,0.03,$699.40 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,MICRON TECHNOLOGY,MU,,2588184,595112103,25309063,7/22/22,7/26/22,S,"117,226","117,226", -   ,75.2075,USD,1,"$3,516.78 ",0.03,"$3,047.88 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,MYT NETHERLANDS PARENT BV,MYTE,,BM9PJF7,55406W103,25308227,7/22/22,7/26/22,B,"5,588","5,588", -   ,29.9245,USD,1,$167.64 ,0.03,$145.29 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,ETF,Cash Equity,VANECK VECTORS SEMICONDUCTOR,SMH,,BZ6C639,92189F676,25308648,7/22/22,7/26/22,B,"31,200","31,200", -   ,254.8844,USD,1,$936.00 ,0.03,$811.20 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,VOLKSWAGEN AG,VOW3 GY,DE0007664039,5497168,,25310847,7/23/22,7/27/22,B,"5,000","5,000", -   ,209.6396,EU,1.17725,$987.19 ,0.0008,$740.39 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ADVANCE MICRO DEVICE,AMD,,2007849,7903107,25311331,7/26/22,7/28/22,S,"21,700","21,700", -   ,91.8546,USD,1,$651.00 ,0.03,$564.20 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,APTIV PLC,APTV,,B783TY6,G6095L109,25311184,7/26/22,7/28/22,B,"163,332","163,332", -   ,158.3119,USD,1,"$4,899.96 ",0.03,"$4,246.63 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,ALPHAWAVE IP GROUP PLC SWAP,AWE LN,,,S-BNDRMJ1,25311850,7/26/22,7/28/22,B,"2,157","2,157", -   ,3.988,GBP,1.3814,$9.50 ,0.0008,$7.13 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,ALPHAWAVE IP GROUP PLC SWAP,AWE LN,,,S-BNDRMJ1,25311517,7/26/22,7/28/22,B,"19,278","19,278", -   ,3.959605,GBP,1.3814,$84.36 ,0.0008,$63.27 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,ALPHAWAVE IP GROUP PLC SWAP,AWE LN,,,S-BNDRMJ1,25311332,7/26/22,7/28/22,B,"41,017","41,017", -   ,4.0036,GBP,1.3814,$181.47 ,0.0008,$136.10 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,INTEL CORPORATION,INTC,,2463247,458140100,25311518,7/26/22,7/28/22,B,"37,700","37,700", -   ,54.1274,USD,1,"$1,131.00 ",0.03,$980.20 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,TRIPADVISOR INC,TRIP,,B6ZC3N6,896945201,25312384,7/26/22,7/28/22,B,"78,000","78,000", -   ,38.4004,USD,1,"$2,340.00 ",0.03,"$2,028.00 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,VODAFONE GROUP PLC SWAP,VOD LN,,,S-BH4HKS3,25312380,7/26/22,7/28/22,S,"933,400","933,400", -   ,1.172212,GBP,1.3814,"$1,209.15 ",0.0008,$906.86 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,ALPHAWAVE IP GROUP PLC SWAP,AWE LN,,,S-BNDRMJ1,25312887,7/27/22,7/29/22,B,"30,348","30,348", -   ,4.038527,GBP,1.3886,$136.15 ,0.0008,$102.11 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,BASF AG,BAS GY,DE000BASF111,5086577,,25313285,7/27/22,7/29/22,S,"10,000","10,000", -   ,67.008,EU,1.18235,$633.81 ,0.0008,$475.36 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,CAP GEMINI SA,CAP FP,,,S-4163437,25313272,7/27/22,7/29/22,S,"12,400","12,400", -   ,171.585,EU,1.18235,"$2,012.50 ",0.0008,"$1,509.38 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SNAP INC - A,SNAP,,BD8DJ71,83304A106,25312899,7/27/22,7/29/22,B,"13,600","13,600", -   ,73.6796,USD,1,$408.00 ,0.03,$353.60 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ISHARES TIPS BOND ETF,TIP,,2215352,464287176,25313660,7/27/22,7/29/22,S,"25,000","25,000", -   ,130.1404,USD,1,$750.00 ,0.03,$650.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ADYEN NV,ADYEN NA,NL0012969182,BZ1HM42,,25314466,7/28/22,7/30/22,B,"1,090","1,090", -   ,2315.6867,EU,1.18365,"$2,390.12 ",0.0008,"$1,792.59 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ASM INTERNATIONAL,ASM NA,NL0000334118,5165294,,25314718,7/28/22,7/30/22,S,"2,228","2,228", -   ,290.5528,EU,1.18365,$612.99 ,0.0008,$459.74 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,ALPHAWAVE IP GROUP PLC SWAP,AWE LN,,,S-BNDRMJ1,25315416,7/28/22,7/30/22,B,"65,792","65,792", -   ,4.196658,GBP,1.3903,$307.10 ,0.0008,$230.33 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,INFORMA GROUP PLC SW,INF LN,,,S-BMJ6DW5,25314477,7/28/22,7/30/22,S,"220,500","220,500", -   ,4.872013,GBP,1.3903,"$1,194.85 ",0.0008,$896.14 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,PEARSON ORD. SWAP,PSON LN,,,S-0677608,25315643,7/28/22,7/30/22,B,"129,600","129,600", -   ,8.368779,GBP,1.3903,"$1,206.34 ",0.0008,$904.76 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,ALPHAWAVE IP GROUP PLC SWAP,AWE LN,,,S-BNDRMJ1,25317211,7/29/22,8/2/22,B,"24,808","24,808", -   ,4.314914,GBP,1.3968,$119.62 ,0.0008,$89.72 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,PINTEREST INC- CLASS A,PINS,,BJ2Z0H2,72352L106,25317252,7/29/22,8/2/22,S,"13,500","13,500", -   ,73.7367,USD,1,$405.00 ,0.03,$351.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,REED ELSEVIER PLC,REL LN,,,S-B2B0DG9,25316089,7/29/22,8/2/22,S,"51,400","51,400", -   ,21.001048,GBP,1.3968,"$1,206.22 ",0.0008,$904.67 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ADVANCE MICRO DEVICE,AMD,,2007849,7903107,25317634,7/30/22,8/3/22,S,"9,600","9,600", -   ,106.0159,USD,1,$288.00 ,0.03,$249.60 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ELECTRONIC ARTS INC,EA,,2310194,285512109,25317802,7/30/22,8/3/22,B,"13,900","13,900", -   ,144.438,USD,1,$417.00 ,0.03,$361.40 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,INFORMA GROUP PLC SW,INF LN,,,S-BMJ6DW5,25317635,7/30/22,8/3/22,S,"142,100","142,100", -   ,4.968945,GBP,1.3891,$784.66 ,0.0008,$588.50 
